127.0.0.1 - - [08/Jan/2016:17:24:44 +0900] "GET / HTTP/1.1" 200 7580
0:0:0:0:0:0:0:1 - - [08/Jan/2016:17:25:15 +0900] "GET / HTTP/1.1" 200 7580
0:0:0:0:0:0:0:1 - - [08/Jan/2016:17:25:16 +0900] "GET /resources/assets/css/colors.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:17:25:16 +0900] "GET /resources/assets/css/components.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:17:25:16 +0900] "GET /resources/assets/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:17:25:16 +0900] "GET /resources/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:17:25:16 +0900] "GET /resources/assets/js/plugins/loaders/pace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:17:25:16 +0900] "GET /resources/assets/css/icons/icomoon/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:17:25:16 +0900] "GET /resources/assets/js/core/libraries/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:17:25:16 +0900] "GET /resources/assets/js/core/libraries/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:17:25:16 +0900] "GET /resources/assets/js/plugins/loaders/blockui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:17:25:16 +0900] "GET /resources/assets/js/lib/jquery.ba-bbq.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:17:25:16 +0900] "GET /resources/assets/js/lib/jquery-migrate-1.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:17:25:16 +0900] "GET /resources/assets/js/plugins/forms/selects/select2.min.js HTTP/1.1" 304 -
